"","or","lower","upper","p.val"
"1",0.306180656876176,0.273043796830821,0.343339038400541,0
"2",1.0038042987829,0.726310001623828,1.38731818094513,0.982025617434487
"3",1.09491419578191,0.971119015497729,1.23449039406392,0.15711116449534
"4",1.05592871858212,0.906444611357586,1.23006463357596,0.495552110385157
"5",1.17597744089832,1.00261795773804,1.37931196108008,0.0596765399353676
"6",1.58168247413884,1.45117659985372,1.72392488223014,0
"7",1.84077828897869,1.00691214402626,3.36520393489957,0.0665990181916241
"8",1.05544704708779,0.714649915964561,1.55876107212972,0.788944365614153
"9",0.902024166347577,0.824728633111956,0.986564021191914,0.024089643073814
"10",0.672018326225172,0.609642138806901,0.740776599967812,1.33226762955019e-15
"11",0.327990209748977,0.104744477577747,1.02704772775565,0.055617929552003
"12",0.509348575148699,0.46905333102773,0.553105486827194,0
"13",0.510984808186529,0.0334372564112372,7.80881873160128,0.629370364579737
"14",0.883287819706986,0.810666799188207,0.962414364599613,0.00458469854258503
"15",1.19883756798998,0.686392751333385,2.09386173095827,0.523879797728247
"16",1.21766485211882,0.912869353213282,1.62422770231737,0.180342591486325
"17",0.306430227274915,0.239391424027404,0.392242473051195,0
"18",0.577019644531453,0.498127263063778,0.668406840708445,2.38475905689484e-13
"19",0.501958414903836,0.436715308235147,0.576948518958496,0
"20",0.753816219071458,0.493518710861486,1.15140293494298,0.191006435996924
